,usrec,unrate,cpiaucsl,indpro,m2sl,wtisplc,icsa,houst,gs10,tb3ms,baa,ppiaco,usalolitoaastsam,sp500,precio_oro
1982-02-28,2.709460549738312,1.6944029945188916,-0.7710189556403042,-1.014642189609049,-0.7560242072491644,-0.21334214994117273,0.6073801966691005,-1.4347393330485916,2.8059309214431303,2.7542297107237617,3.12989085470009,-0.5349031468975065,-2.229464946863448,-0.751646643704468,-0.4629200029178504
1982-03-31,2.709460549738312,1.7514747407890592,-0.7710189556403042,-1.0286998803289602,-0.7540734441621935,-0.31848613055481656,0.7771174196053715,-1.2703803826308722,2.617263367428888,2.5090785049873707,3.0058526961663556,-0.538100024212752,-2.3827093642881816,-0.752458690138545,-0.5249715985516719
1982-04-30,2.709460549738312,1.9226899795995627,-0.767302056129554,-1.0481039913045578,-0.7512448376860855,-0.14882198001916383,0.8287765744120626,-1.3057807719516117,2.620573324516857,2.5152072851307805,2.9920706785514968,-0.538100024212752,-2.4799587920166983,-0.7492952415093174,-0.496618487966938
1982-05-31,2.709460549738312,1.97976172586973,-0.7561513575973033,-1.0619664952532297,-0.749375356394405,-0.0641605930315546,0.8287765744120626,-1.032692054334478,2.537824397317628,2.328279490756783,2.9438336168994885,-0.5349031468975065,-2.516037082501345,-0.7525151815432656,-0.5200787425604909
1982-06-30,2.709460549738312,2.093905218410065,-0.7425227260578859,-1.0673511042250279,-0.7476521823342472,-0.09351897722887073,0.8066369366377664,-1.343709760509547,2.7629014792995314,2.4447263134815684,3.0403077402035046,-0.5317062695822609,-2.489240151094803,-0.754118086094162,-0.5465652144433869
1982-07-31,2.709460549738312,2.208048710950401,-0.736327893539969,-1.0741317229302556,-0.7467580825860523,-0.12458424422835654,0.8915055481059019,-0.6761595618898865,2.6470529812206105,2.1015146254506214,2.998961687358926,-0.5253125149517696,-2.408487420322186,-0.7558975276316391,-0.5126404701577129
1982-08-31,2.709460549738312,2.208048710950401,-0.7338499605328022,-1.0929035984946647,-0.7445309613950938,-0.1317531519974684,1.0464830125259754,-0.9795914703533686,2.352466800391355,1.2833224763054183,2.8335774759806136,-0.5269109536093926,-2.2828394365318263,-0.74712743368585,-0.4769197931816342
1982-09-30,2.709460549738312,2.379263949760903,-0.7338499605328022,-1.0979275362587382,-0.7423851219994257,-0.07440188984457176,1.1350415636231603,-0.7317887451081915,2.114149890057575,1.0504288308558474,2.595837672124289,-0.5317062695822609,-2.108714110821053,-0.7464848614659343,-0.3735758868707938
1982-10-31,2.709460549738312,2.5504791885714067,-0.7288940945184686,-1.117603211437799,-0.7405481534258613,-0.07269500704240231,1.0095836162354817,-0.6584593672295167,1.6408260264779844,0.9860766393500449,2.285742275789953,-0.5285093922670152,-1.8891564566320191,-0.7370933782301705,-0.3950139495373557
1982-11-30,2.709460549738312,2.7787661736520772,-0.730133061022052,-1.1241419682743168,-0.7382722631577285,-0.12492562078879038,0.9173351255092475,-0.1552681190275756,1.5216675713110945,1.0963946819314208,2.1375855864302147,-0.5269109536093926,-1.6155875555589914,-0.7336969119842754,-0.4052804623974638
