modelo,condicion,pr_auc,auc_roc,recall,f1_score,umbral_mediano
XGBoost,none,0.6381997063841778,0.8457942294222323,0.0,0.0,0.4208316095173359
XGBoost,smote,0.5321943729201954,0.8313728134938663,0.25,0.16666666666666666,0.2681496851146221
LightGBM,balanced,0.5129520477150558,0.8250556486319349,0.0,0.0,0.49780695497874045
XGBoost,balanced,0.50997868210953,0.8222787385153213,0.0,0.0,0.4665166735649109
Baseline LR,balanced,0.5058133588501772,0.7788311973093038,0.09375,0.11538461538461539,0.7206063829651669
Random Forest,none,0.4921045268093204,0.8587236625397546,0.0,0.0,0.4360550306175306
Baseline LR,none,0.48786256389266164,0.7624720376470291,0.03125,0.05555555555555555,0.40065303896604754
LightGBM,none,0.4869973796576166,0.7874372128830329,0.0,0.0,0.33996904416866947
Baseline LR,smote,0.45386531457010976,0.7480223241329699,0.125,0.1349206349206349,0.7358895176024407
LightGBM,smote,0.4037534888309066,0.7399696397470845,0.0,0.0,0.45057442625170024
Random Forest,balanced,0.34453923524914404,0.7264964394340956,0.0,0.0,0.5999418563290286
Random Forest,smote,0.3193540663357057,0.7308525914672623,0.0,0.0,0.5204485167610168
