,valor
1955-01-01,101.458331683333
1955-02-01,101.814615399
1955-03-01,102.109415568591
1955-04-01,102.316638894327
1955-05-01,102.436100019811
1955-06-01,102.475309919028
1955-07-01,102.476923746982
1955-08-01,102.46143141794
1955-09-01,102.434152133251
1955-10-01,102.378913847658
1955-11-01,102.261986586771
1955-12-01,102.0588856118
1956-01-01,101.762802211198
1956-02-01,101.419408483501
1956-03-01,101.083084448997
1956-04-01,100.769395774312
1956-05-01,100.497602254425
1956-06-01,100.310910258435
1956-07-01,100.243490134014
1956-08-01,100.296472412696
1956-09-01,100.414928857433
1956-10-01,100.540100162235
1956-11-01,100.622819258262
1956-12-01,100.615076443592
1957-01-01,100.497673375705
1957-02-01,100.315379118741
1957-03-01,100.072948664541
1957-04-01,99.8087018038452
1957-05-01,99.5514065645987
1957-06-01,99.2764955087395
1957-07-01,98.9503421758239
1957-08-01,98.5518847813623
1957-09-01,98.0841355164037
1957-10-01,97.5923633873199
1957-11-01,97.1470158772328
1957-12-01,96.8023711545845
1958-01-01,96.6202586274503
1958-02-01,96.6362776099694
1958-03-01,96.8454880229913
1958-04-01,97.2230604002097
1958-05-01,97.7532170711012
1958-06-01,98.3860958131241
1958-07-01,99.0550261565967
1958-08-01,99.716744001991
1958-09-01,100.351825579554
1958-10-01,100.960943549405
1958-11-01,101.531596202732
1958-12-01,102.051585579296
1959-01-01,102.52098896759
1959-02-01,102.895202428538
1959-03-01,103.1319694081
1959-04-01,103.205884972252
1959-05-01,103.109447749044
1959-06-01,102.853839154389
1959-07-01,102.482301067478
1959-08-01,102.070572817767
1959-09-01,101.690948698183
1959-10-01,101.385640157338
1959-11-01,101.161327854717
1959-12-01,100.984483796737
1960-01-01,100.758112379919
1960-02-01,100.45033423439
1960-03-01,100.10959053864
1960-04-01,99.7876342167391
1960-05-01,99.5064428121768
1960-06-01,99.260974350938
1960-07-01,99.0301664685994
1960-08-01,98.8114273759553
1960-09-01,98.5947536408037
1960-10-01,98.4085951038729
1960-11-01,98.2865617306488
1960-12-01,98.2644337281505
